对话上文:0215话题：聊聊在餐馆的遭遇 回复:海底捞的变态式服务印象深刻哦
对话上文:给力是什么意思？我又奥特了。 回复:其实我都想知道是什么意思？
对话上文:用一句话证明你今天上班了！ 回复:公司的手纸没有了…
对话上文:#小米手机随手拍#神车神标忍者神龟，大众大腕万事大吉 回复:非常高兴看到这么好的照片，谢谢！
对话上文:哈哈。过年你想要去哪个庙会咧？ 回复:我的公园年票可算能用上了！
对话上文:我才不信只有我一个人这样！ 回复:有强迫症的伤不起。
对话上文:这些生物的名字你都认识吗？ 回复:植物也有胖胖的、、
对话上文:每天嘻嘻哈哈的笑着，只有自己才知道活的有多累。 回复:是啊爱笑的另一张脸
对话上文:今天第二次训练阳光好足啊！ 回复:太歹了哎我想游泳了
对话上文:终于知道自己为什么失眠了。 回复:那我是天才中的天才。哈哈哈哈。
对话上文:操操操操操！绝对不能我一个瞎。（重口慎入） 回复:什么意思？看不懂。
对话上文:歪脖子系列一些情侣头像。「via小矛」 回复:我想知道为啥歪脖子这么火。
对话上文:超级访问和我，开始了。 回复:笑死我了。正在家做月子呢，看了这个不无聊啦
对话上文:单身的男银最性福！😲😲😲 回复:谁做普京的老婆谁幸福
对话上文:改行开烧烤摊，欢迎来光顾！ 回复:毛衣我也有一件，佐丹奴的吧
对话上文:【80后90后的通病】你中了几枪。？（图/cookie爱手绘） 回复:除了知道自己血型其他全中
对话上文:【每日一萌图】Thebigbrotheriswatchingyou！图片来自：megaportail.com 回复:这是我见过的最像恐龙的鸟了。
对话上文:【红肿，裂伤】这就是未遭性侵的证据？ 回复:我宁可相信苍老师范老师都是处女，也不相信警方的结论！
对话上文:当代上海人眼中的上海，看看你在哪一块？ 回复:图能大点吗？都看不清是哪个区
对话上文:爱情这件小事。（via：echo小茵茵） 回复:如果有这么简单就好了
对话上文:听说广州已成避暑胜地…… 回复:怎么可能啊！海南也一样好不好啊！
对话上文:你看我总是乐观向阳，其实孤单是每个人的主旋律，只是我不惧。 回复:你看我总是乐观向阳，其实孤单是每个人的主旋律，只是我不惧。
对话上文:又横横的手贱了一次…… 回复:哈哈，这回他的围脖要爆炸了
对话上文:连杯子也能一起吃掉的提拉米苏。稀饭吗？ 回复:这个是不是好利来都有的一款？
对话上文:各国关系萌化图（网络漫画） 回复:我是撸人我自豪【挺胸
对话上文:终于知道自己为什么失眠了。 回复:5555半个多月了。都是凌晨两点左右惊醒。
对话上文:这是我看到最美的一张“伦敦眼”图片吧。 回复:这世界上不缺少美，而是缺少发现美的眼睛！
对话上文:你若盛开，清风自来。（转） 回复:你若盛开，清风自来。
对话上文:做不生气的妈妈（via:柏柏BJ的亲子漫画） 回复:虽然很难但必须不断提醒自己！
对话上文:祖传的一块袁大头大家给看看值多少钱 回复:哟，这可是无价之宝！
